2026-04-28 15:28:33 | INFO     | __main__ | Config loaded successfully.
2026-04-28 15:28:35 | INFO     | services.logger_service | Run log created at: run_log.csv
2026-04-28 15:28:35 | INFO     | pipeline | Pipeline started.
2026-04-28 15:28:36 | INFO     | services.sheetservices | Sheet headers loaded: ['Sr. No.', "Start work (Vishestha's signal)", 'New_Product_Id', 'Product/SKU ID', 'Product_Image_Main_URL', '', 'Second_Image_Ifany', 'Third_Image_Ifany', 'Fourth image', 'Sub_Category_Name', 'Fabric Details', 'Reference Output image', 'Model Gender', 'Model Age Range', 'Model Ethnicity', 'Model Description (Skin Tone)', 'Model Description (Build)', 'Model Description (Body-Hair Type)', 'Studio Background Preference', 'Lifestyle Setting Preference', 'Pose/Angle requirements Apparel', 'Pose/Angle requirements Non-Apparel', 'No. of Studio shots needed', 'No. of lifestyle shots needed', 'Aspect Ratio (1:1/9:16/4:5)', "Strict Dont'ts", 'Output URL Agency', 'output_image_1', 'output_image_2', 'output_image_3']
2026-04-28 15:28:36 | INFO     | services.sheetservices | Fetched 6 unprocessed products from sheet.
2026-04-28 15:28:36 | INFO     | pipeline | Processing product 1/6: W0743140A
2026-04-28 15:28:37 | WARNING  | services.image_classifier | Classification failed for https://oms.awl.lxcn.com/uploads/goods/W0743140A/W0743140A (1).jpg, defaulting to PRODUCT_ONLY. Error: 404 Client Error: Not Found for url: https://oms.awl.lxcn.com/uploads/goods/W0743140A/W0743140A%20(1).jpg
2026-04-28 15:28:45 | INFO     | services.fashion_service | [W0743140A] view_1 → product-to-model job 019dd386-dcda-7802-8a38-b23e97a8886d
2026-04-28 15:28:48 | ERROR    | services.fashion_service | [W0743140A] view_1 failed: Job failed: ImageLoadError — Failed to load product image: HTTP error loading image from URL: https://oms.awl.lxcn.com/uploads/goods/W0743140A/W0743140A (1).jpg. Error: 404 Client Error: Not Found for url: https://oms.awl.lxcn.com/uploads/goods/W0743140A/W0743140A%20(1).jpg
2026-04-28 15:28:48 | ERROR    | pipeline | [W0743140A] view_1 ✗ — Job failed: ImageLoadError — Failed to load product image: HTTP error loading image from URL: https://oms.awl.lxcn.com/uploads/goods/W0743140A/W0743140A (1).jpg. Error: 404 Client Error: Not Found for url: https://oms.awl.lxcn.com/uploads/goods/W0743140A/W0743140A%20(1).jpg
2026-04-28 15:28:49 | WARNING  | services.image_classifier | Classification failed for https://oms.awl.lxcn.com/uploads/goods/W0743140A/W0743140A (2).jpg, defaulting to PRODUCT_ONLY. Error: 400 Client Error: Bad Request for url: https://api.anthropic.com/v1/messages
2026-04-28 15:28:54 | INFO     | services.fashion_service | [W0743140A] view_2 → product-to-model job 019dd387-0012-7e83-bf96-b933892fb1f2
2026-04-28 15:29:18 | INFO     | services.fashion_service | [W0743140A] view_2 completed → https://cdn.fashn.ai/019dd387-0012-7e83-bf96-b933892fb1f2/product_to_model_0.jpeg
2026-04-28 15:29:20 | INFO     | services.storage_service | Downloaded to local: outputs\W0743140A\view_2.jpeg
2026-04-28 15:29:20 | INFO     | pipeline | [W0743140A] view_2 ✓
2026-04-28 15:29:22 | WARNING  | services.image_classifier | Classification failed for https://oms.awl.lxcn.com/uploads/goods/W0743140A/W0743140A (3).jpeg, defaulting to PRODUCT_ONLY. Error: 400 Client Error: Bad Request for url: https://api.anthropic.com/v1/messages
2026-04-28 15:29:26 | INFO     | services.fashion_service | [W0743140A] view_3 → product-to-model job 019dd387-7d32-7663-b832-57d10ab2b2fb
2026-04-28 15:30:01 | INFO     | services.fashion_service | [W0743140A] view_3 completed → https://cdn.fashn.ai/019dd387-7d32-7663-b832-57d10ab2b2fb/product_to_model_0.jpeg
2026-04-28 15:30:03 | INFO     | services.storage_service | Downloaded to local: outputs\W0743140A\view_3.jpeg
2026-04-28 15:30:03 | INFO     | pipeline | [W0743140A] view_3 ✓
2026-04-28 15:30:04 | ERROR    | pipeline | Product W0743140A skipped due to unexpected error: APIError: [400]: Unable to parse range: 'ImageBank'!]2
2026-04-28 15:32:29 | INFO     | __main__ | Config loaded successfully.
2026-04-28 15:32:32 | INFO     | pipeline | Pipeline started.
2026-04-28 15:32:33 | INFO     | services.sheetservices | Sheet headers loaded: ['Sr. No.', "Start work (Vishestha's signal)", 'New_Product_Id', 'Product/SKU ID', 'Product_Image_Main_URL', '', 'Second_Image_Ifany', 'Third_Image_Ifany', 'Fourth image', 'Sub_Category_Name', 'Fabric Details', 'Reference Output image', 'Model Gender', 'Model Age Range', 'Model Ethnicity', 'Model Description (Skin Tone)', 'Model Description (Build)', 'Model Description (Body-Hair Type)', 'Studio Background Preference', 'Lifestyle Setting Preference', 'Pose/Angle requirements Apparel', 'Pose/Angle requirements Non-Apparel', 'No. of Studio shots needed', 'No. of lifestyle shots needed', 'Aspect Ratio (1:1/9:16/4:5)', "Strict Dont'ts", 'Output URL Agency', 'output_image_1', 'output_image_2', 'output_image_3']
2026-04-28 15:32:33 | INFO     | services.sheetservices | Fetched 6 unprocessed products from sheet.
2026-04-28 15:32:33 | INFO     | pipeline | Processing product 1/6: W0743140A
2026-04-28 15:32:34 | WARNING  | services.image_classifier | Classification failed for https://oms.awl.lxcn.com/uploads/goods/W0743140A/W0743140A (1).jpg, defaulting to PRODUCT_ONLY. Error: 404 Client Error: Not Found for url: https://oms.awl.lxcn.com/uploads/goods/W0743140A/W0743140A%20(1).jpg
2026-04-28 15:32:39 | INFO     | services.fashion_service | [W0743140A] view_1 → product-to-model job 019dd38a-7057-7010-a06f-0bc6db6589c1
